Date,Month,User ID,Room Name,Room Type,Usage
2024,4,1,Living Room,Living,38.2
2024,4,1,John's Room,Bedroom,19
2024,4,1,Master Room,Bedroom,42.5
2024,4,1,Rented Room,Bedroom(Rented),21.8
2024,4,1,Kitchen,Kitchen,13
2024,5,1,Living Room,Living,36.8
2024,5,1,John's Room,Bedroom,17.2
2024,5,1,Master Room,Bedroom,40
2024,5,1,Rented Room,Bedroom(Rented),20.5
2024,5,1,Kitchen,Kitchen,12.5
2024,6,1,Living Room,Living,31
2024,6,1,John's Room,Bedroom,14
2024,6,1,Master Room,Bedroom,35
2024,6,1,Rented Room,Bedroom(Rented),18
2024,6,1,Kitchen,Kitchen,10
2024,7,1,Living Room,Living,31.2
2024,7,1,John's Room,Bedroom,15.2
2024,7,1,Master Room,Bedroom,36
2024,7,1,Rented Room,Bedroom(Rented),18.6
2024,7,1,Kitchen,Kitchen,9.2
2024,8,1,Living Room,Living,33.6
2024,8,1,John's Room,Bedroom,14.5
2024,8,1,Master Room,Bedroom,38
2024,8,1,Rented Room,Bedroom(Rented),22
2024,8,1,Kitchen,Kitchen,14.7
2024,9,1,Living Room,Living,30.2
2024,9,1,John's Room,Bedroom,13.8
2024,9,1,Master Room,Bedroom,32
2024,9,1,Rented Room,Bedroom(Rented),18
2024,9,1,Kitchen,Kitchen,11
2024,10,1,Living Room,Living,33
2024,10,1,John's Room,Bedroom,14
2024,10,1,Master Room,Bedroom,36
2024,10,1,Rented Room,Bedroom(Rented),20
2024,10,1,Kitchen,Kitchen,12
2024,11,1,Living Room,Living,36.8
2024,11,1,John's Room,Bedroom,16
2024,11,1,Master Room,Bedroom,39
2024,11,1,Rented Room,Bedroom(Rented),22
2024,11,1,Kitchen,Kitchen,16
2024,12,1,Living Room,Living,35
2024,12,1,John's Room,Bedroom,15
2024,12,1,Master Room,Bedroom,40
2024,12,1,Rented Room,Bedroom(Rented),22.6
2024,12,1,Kitchen,Kitchen,12
2024,1,1,Living Room,Living,32
2024,1,1,John's Room,Bedroom,14
2024,1,1,Master Room,Bedroom,36
2024,1,1,Rented Room,Bedroom(Rented),18
2024,1,1,Kitchen,Kitchen,10
2024,2,1,Living Room,Living,40
2024,2,1,John's Room,Bedroom,18
